,Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Writing.Credits,Lyrics,Features
11,Lizzo,Truth Hurts,11,11,8,7/6/19,19-Sep-17,"Pop,Rap","Ricky reed, Jesse saint john, Steven cheung, Lizzo","Truth Hurts 
Why're men great til they gotta be great?
Woo!
I just took a DNA test, turns out I'm 100% that bitch
Even when I'm crying crazy
Yeah, I got boy problems, that's the human in me
Bling bling, then I solve em, that's the goddess in me
You coulda had a bad bitch, non-committal
Help you with your career just a little
You're posed to hold me down, but you're holding me back
And that's the sound of me not calling you back
Why're men great til they gotta be great? til they gotta be
Don't text me, tell it straight to my face tell it straight to my face
Best friend sat me down in the salon chair down in the salon
Shampoo press, get you out of my hair my hair
Fresh photos with the bomb lighting bomb lighting
New man on the Minnesota Vikings Minnesota Vikings
Truth hurts, needed something more exciting ooh, yeah, yeah, yeah, yeah
Bom bom bi dom bi dum bum bay
You tried to break my heart?
Oh, that breaks my heart
That you thought you ever had it
No, you ain't from the start
Hey, I'm glad you're back with your bitch
I mean, who would wanna hide this?
I will never, ever, ever, ever, ever be your side chick
I put the sing in single
Ain't worried bout a ring on my finger
So you can tell your friend, “shoot your shot” when you see em
It's okay, he already in my DMs
Why're men great til they gotta be great? til they gotta be
Don't text me, tell it straight to my face tell it straight to my face
Best friend sat me down in the salon chair down in the salon
Shampoo press, get you out of my hair my hair
Fresh photos with the bomb lighting bomb lighting
New man on the Minnesota Vikings Minnesota Vikings
Truth hurts, needed something more exciting ooh, yeah, yeah, yeah, yeah
Bom bom bi dom bi dum bum bay
I'ma hit you back in a minute yeah, yeah
I don't play tag, bitch, I been it one time
We don't fuck with lies two times, we don't do goodbyes woo
We just keep it pushing like ay-ay-ay
I'ma hit you back in a minute yeah, yeah
I don't play tag, bitch, I been it one time
We don't fuck with lies two times, we don't do goodbyes woo
We just keep it pushing like ay-ay-ay woo
Why're men great til they gotta be great? til they gotta be
Don't text me, tell it straight to my face tell it straight to my face
Best friend sat me down in the salon chair down in the salon
Shampoo press, get you out of my hair my hair
Fresh photos with the bomb lighting bomb lighting
New man on the Minnesota Vikings Minnesota Vikings
Truth hurts, needed something more exciting ooh, yeah, yeah, yeah, yeah
Bom bom bi dom bi dum bum bay
With the bomb lighting
Minnesota Vikings
Ooh, yeah, yeah, yeah, yeah
",
12,"Post Malone, Swae Lee",Sunflower,12,1,36,7/6/19,18-Oct-18,"Rap,Disney,Hip-Hop,Marvel,Soundtrack,R&;B,Pop","Carl rosen, Louis bell, Billy walsh, Carter lang, Swae lee, Post malone","Sunflower 
Ayy, ayy, ayy, ayy Ooh
Ooh, ooh, ooh, ooh Ooh
Ayy, ayy
Ooh, ooh, ooh, ooh
Needless to say, I keep it in check
She was a bad-bad, nevertheless Yeah
Calling it quits now, baby, I'm a wreck Wreck
Crash at my place, baby, you're a wreck Wreck
Needless to say, I'm keeping in check
She was a bad-bad, nevertheless
Calling it quits now, baby, I'm a wreck
Crash at my place, baby, you're a wreck
Thinking in a bad way, losing your grip
Screaming at my face, baby, don't trip
Someone took a big L, don't know how that felt
Looking at you sideways, party on tilt
Ooh-ooh, some things you just can't refuse
She wanna ride me like a cruise and I'm not tryna lose
Then you're left in the dust, unless I stuck by ya
You're a sunflower, I think your love would be too much
Or you'll be left in the dust, unless I stuck by ya
You're the sunflower, you're the sunflower
Every time I'm leaving on ya Ooh
You don't make it easy, no No, no
Wish I could be there for ya Ooh
Give me a reason to, oh Oh
Every time I'm walking out Oh
I can hear you telling me to turn around Oh, oh
Fighting for my trust and you won't back down No
Even if we gotta risk it all right now, oh Now
I know you're scared of the unknown Known
You don't wanna be alone Alone
I know I always come and go And go
But it's out of my control
And you'll be left in the dust, unless I stuck by ya
You're the sunflower, I think your love would be too much
Or you'll be left in the dust, unless I stuck by ya
You're the sunflower, you're the sunflower Yeah
",
13,Taylor Swift,You Need To Calm Down,13,2,2,7/6/19,14-Jun-19,"Synth-Pop,LGBTQ+,Pop","Joel little, Taylor swift","You Need To Calm Down 
You are somebody that I don't know
But you're taking shots at me like it's Patron
And I'm just like, damn, it's 7 AM
Say it in the street, that's a knock-out
But you say it in a Tweet, that's a cop-out
And I'm just like, Hey, are you okay?""
And I ain't tryna mess with your self-expression
But I've learned a lesson that stressing and obsessing bout somebody else is no fun
And snakes and stones never broke my bones
So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down, you're being too loud
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh Oh
You need to just stop, like can you just not step on my gown?
You need to calm down
You are somebody that we don't know
But you're coming at my friends like a missile
Why are you mad when you could be GLAAD? You could be GLAAD
Sunshine on the street at the parade
But you would rather be in the dark ages
Making that sign must've taken all night
You just need to take several seats and then try to restore the peace
And control your urges to scream about all the people you hate
'Cause shade never made anybody less gay
So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down, you're being too loud
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh Oh
You need to just stop, like can you just not step on his gown?
You need to calm down
And we see you over there on the internet
Comparing all the girls who are killing it
But we figured you out
We all know now we all got crowns
You need to calm down
Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down You need to calm down
You're being too loud You're being too loud
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh Oh
You need to just stop Can you stop?
Like can you just not step on our gowns?
You need to calm down
",
14,Shawn Mendes,If I Can't Have You,14,2,8,7/6/19,3-May-19,"Canada,Teen Pop,Pop","Dmitry fedorov, Teddy geiger, Shawn mendes, Scott harris, Nate mercereau","If I Can't Have You 
I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I'm in Toronto and I got this view
But I might as well be in a hotel room, yeah
It doesn't matter cause I'm so consumed
Spending all my nights reading texts from you
Oh, I'm good at keeping my distance
I know that you're the feeling I'm missing
You know that I hate to admit it
But everything means nothing if I can't have you
I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I'm so sorry that my timing's off
But I can't move on if we're still gonna talk
Is it wrong for me to not want half?
I want all of you, all the strings attached
Oh, I'm good at keeping my distance
I know that you're the feeling I'm missing
You know that I hate to admit it
But everything means nothing if I can't have you
I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I'm trying to move on, forget you, but I hold on
Everything means nothing, everything means nothing, babe
I'm trying to move on, forget you, but I hold on
Everything means nothing if I can't have you, no
I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you? Can't have you
I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?
",
15,"Sam Smith, Normani",Dancing With A Stranger,15,7,24,7/6/19,11-Jan-19,"UK,Pop","Tor erik hermansen, Mikkel storleer eriksen, Jimmy napes, Normani, Sam smith","Dancing with a Stranger 
Hmm, mhm
I don't wanna be alone tonight Alone tonight
It's pretty clear that I'm not over you Over you, over you
I'm still thinking bout the things you do Things you do
So I don't wanna be alone tonight, alone tonight, alone tonight
Can you light the fire? Light the fire, light the fire
I need somebody who can take control Take control
I know exactly what I need to do
'Cause I don't wanna be alone tonight, alone tonight, alone tonight
Look what you made me do, I'm with somebody new
Ooh, baby, baby, I'm dancing with a stranger
Look what you made me do, I'm with somebody new
Ooh, baby, baby, I'm dancing with a stranger
Dancing with a stranger
I wasn't even going out tonight Out tonight
But, boy, I need to get you off of my mind Off of my mind
I know exactly what I have to do
I don't wanna be alone tonight, alone tonight, alone tonight
Look what you made me do, I'm with somebody new
Ooh, baby, baby, I'm dancing with a stranger
Look what you made me do, I'm with somebody new
Ooh, baby, baby, I'm dancing with a stranger
Dancing with a stranger
Dancing with a stranger
Dancing, yeah, ooh
Look what you made me do, I'm with somebody new Ooh
Ooh, baby, baby, I'm dancing with a stranger
Look what you made me do, I'm with somebody new
Ooh, baby, baby, I'm dancing with a stranger
I'm dancing, I'm dancing Ooh
I'm dancing, I'm dancing Dancing with a stranger
I'm dancing, I'm dancing Dancing with a stranger
I'm dancing, I'm dancing Dancing with a stranger
",
16,Lil Nas X,Panini,16,NA,NA,7/6/19,20-Jun-19,"Memes,Atlanta,Hip-Hop,Trap,Rap","Dot da genius, Kurt cobain, David biral, Denzel baptiste, Lil nas x","Panini 
Daytrip took it to 10 Hey
Ayy, Panini, don't you be a meanie
Thought you wanted me to go up
Why you tryna keep me teeny? I
It's a dream, he wished it on a genie
I got fans finally, ain't you wanting them to see me? I
I thought you want this for my life, for my life
Said you wanted to see me thrive, you lied
Just say to me what you want from me
Just say to me what you want from me
Ayy, Panini, don't you be a meanie
Thought you wanted me to go up
Why you tryna keep me teeny now?
Now they need me, number one on streaming
Oh yeah, you used to love me
So what happened, what's the meaning? I
I thought you want this for my life, for my life
Said you wanted to see me thrive, you lied
Now when it's all done, I get the upper hand
I need a big Benz, not another fan
But I still want you as a fan
I'ma need to sit down, don't mean to make demands
But I need you to...
Say to me what you want from me
Just say to me what you want from me
Daytrip took it to 10 Hey
",
17,Halsey,Without Me,17,1,38,7/6/19,4-Oct-18,"Synth-Pop,R&;B,Alternative Pop,Ballad,Pop,Alternative","Justin timberlake, Timbaland, Halsey, Delacey, Louis bell, Amy allen, Scott storch","Without Me 
Found you when your heart was broke
I filled your cup until it overflowed
Took it so far to keep you close Keep you close
I was afraid to leave you on your own
I said I'd catch you if you fall Fall
And if they laugh, then fuck em all All
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me
Tell me, how's it feel sitting up there?
Feeling so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinking you could live without me
Thinking you could live without me
Baby, I'm the one who put you up there
I don't know why Yeah, I don't know why
Thinking you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why I don't know why, yeah, yeah
Gave love bout a hundred tries Hundred tries
Just running from the demons in your mind
Then I took yours and made em mine Mine
I didn't notice cause my love was blind
Said I'd catch you if you fall Fall
And if they laugh, then fuck em all All
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me
Tell me, how's it feel sitting up there?
Feeling so high but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinking you could live without me
Thinking you could live without me
Baby, I'm the one who put you up there
I don't know why Yeah, I don't know why
Thinking you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why, yeah
You don't have to say just what you did What you did
I already know I know
I had to go and find out from them Oh-woah
So tell me, how's it feel? Oh-woah
Tell me, how's it feel sitting up there?
Feeling so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinking you could live without me
Thinking you could live without me
Baby, I'm the one who put you up there
I don't know why Yeah, I don't know why
",
18,Blake Shelton,God's Country,18,18,13,7/6/19,29-Mar-19,Country,"Jordan schmidt, Hardy, Devin dawson","God's Country 
Right outside of this one church town
There's a gold dirt road to a whole lot of nothin'
Got a deed to the land, but it ain't my ground
This is God's country
We pray for rain, and thank Him when it's fallen
'Cause it brings a grain and a little bit of money
We put it back in the plate
I guess that's why they call it God's country
I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia, but he didn't stick around
This is God's country
We turned the dirt and worked until the week's done
We take a break and break bread on Sunday
And then do it all again
'Cause we're proud to be from God's country Yeah, yeah
I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia but he didn't stick around
This is God's country Yeah
This is God's country
God's country
I don't care what my headstone reads
Or what kind of pine wood box I end up in
When it's my time, lay me six feet deep
In God's country Yeah, yeah
I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia but he didn't stick around
This is God's country God's country
Yeah, I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia but he didn't stick around
This is God's country
",
19,Polo G,Pop Out,19,11,14,7/6/19,13-Jan-19,"Trap,Rap","Lil tjay, Polo g","Pop Out 
JD On Tha Track
Iceberg want a bag, bitch
We pop out at your party, I'm with the gang
And it's gon' be a robbery, so tuck ya chain
I'm a killer, girl, I'm sorry, but I can't change
We ain't aiming for your body, shots hit your brain
We come from poverty, man, we ain't have a thing
It's a lot of animosity, but they won't say my name
Them killers rock with me, lil' nigga, don't get banged
'Cause they'll do that job for me while I hop on a plane
She don't like her body, left the doctor with a new shape
Blowing up my phone cause she just see me with my new bae
Heartbreaker, ladies love me like I'm Cool J
She was tryna cling onto a nigga, but it's too late
Booked a flight to Cali, racks and condoms in my suitcase
And every single dollar in these bands got a blue face
Diamonds in the Rollie, they in HD like it's Blu-Ray
The way that I been balling should make the cover of 2K
Show out for the summer I might pull up in a new Wraith
Dissing on the gang that's gon' only get your crew chased
And we hawk shit down, better tighten' up yo' shoe lace
Lil bro get up close let the Glock 22 spray
We pop out at your party, I'm with the gang
And it's gon' be a robbery, so tuck ya chain
I'm a killer, girl, I'm sorry, but I can't change
We ain't aiming for your body, shots hit your brain
We come from poverty, man, we ain't have a thing
It's a lot of animosity, but they won't say my name
Them killers rock with me, lil' nigga, don't get banged
'Cause they'll do that job for me while I hop on a plane
I call lil' bro, he said he ready for the stain Said he ready for the stain
What you claim? You a lame, you ain't never put in pain Put in pain
Swear I be around some killers that go crazy for the gang They go crazy for the game
If I showed you all my charges, you won't look at me the same You won't look at me the same
Made some choices in my life I wish I never had to make Wish I never had to make
Lost my brother, seen him die and I just seen him graduate I just seen him graduate
Got that 40 on my side and I'm just rolling patty cakes I'm just rolling past jakes
Both my hands can do the job and I ain't talking masturbate
I was in and outta state State cause I had a bag to make Bag to make
I risked my life but it's aight cause God ain't let me pass away Pass away
Fuck tomorrow, spin the block, just know we coming back today Back today
I call Polo, he come dolo, we get em the fast way
We pop out at your party, I'm with the gang
And it's gon' be a robbery, so tuck ya chain
I'm a killer, girl, I'm sorry, but I can't change
We ain't aiming for your body, shots hit your brain
We come from poverty, man, we ain't have a thing
It's a lot of animosity, but they won't say my name
Them killers rock with me, lil' nigga, don't get banged
'Cause they'll do that job for me while I hop on a plane
",Lil Tjay
20,Nicki Minaj,MEGATRON,20,NA,NA,7/6/19,21-Jun-19,"East Coast,Hip-Hop,Rap","Haldane brown, Andrew pop wansel, Brittany coney, Blu june, Nicki minaj","MEGATRON 
Brra-ta-ta-ta
Brra-ta-ta-ta
They call me Megatron, just did a telethon
He got Margielas on, and I get my jealous on
I fuck him like I miss him, he just came out of prison
Bitches be talking shit, but they ain't got a pot to piss in
My name is Nicki M, I'm in a sticky Benz
That mean it's candy apple red, I'm Barbie, this is Ken
That is a Fendi fact, I'm with a hunnid macs
Oh, this is custom made, Donatella sent me that
Feel up, baby, feel on me
Pull up if you're feeling lonely
Feel up, baby, feel on me
Pull up if you're feeling lonely
Brra-ta-ta-ta
Shots, shots, shots, I'm drinkin'
It's better when I'm drinkin'
I tune up when I'm drinkin'
Rum, rum when I'm-
Brra-ta-ta-ta
Shots, shots, shots, I'm drinkin'
It's better when I'm drinkin'
I tune up when I'm drinkin'
Rum, rum when I'm-
Brra-ta-ta-ta
Brra-ta-ta-ta
Brra-ta-ta-ta
They call me Megatron, shorty's a mega con
It ain't about the race either, it's the marathon
I put the squeeze on him, th-throw up the Bs on him
Th-that ass clapping on the D, Hercules on him
My name is baddie, baddie, I keep it tight for zaddy
He keep it comin', comin', he ain't even drop the Addy
Trunk in the front-front, I need a blunt-blunt
I own my own moscato, bitch, we getting drunk-drunk
Feel up, baby, feel on me
Pull up if you're feeling lonely
Feel up, baby, feel on me
Pull up if you're feeling lonely
Brra-ta-ta-ta
Shots, shots, shots, I'm drinkin'
It's better when I'm drinkin'
I tune up when I'm drinkin'
Rum, rum when I'm-
Brra-ta-ta-ta
Shots, shots, shots, I'm drinkin'
It's better when I'm drinkin'
I tune up when I'm drinkin'
Rum, rum when I'm-
Brra-ta-ta-ta
Brra-ta-ta-ta
Brra-ta-ta-ta
Bite me, bite me, that excite me
He said it's my pussy Yup, it might be
If you eating it, do it precisely
'Cause I'm a millionaire, this pussy pricey
Yup, it might be, yup, it might be
He said it's my pussy Yup, it might be
M-my pussy, m-my pussy Yup, it might be
'Cause I'm a millionaire, this pussy pricey
Feel up, baby, feel on me
Pull up if you're feeling lonely
Feel up, baby, feel on me
Pull up if you're feeling lonely
Brra-ta-ta-ta
Shots, shots, shots, I'm drinkin'
It's better when I'm drinkin'
I tune up when I'm drinkin'
Rum, rum when I'm-
Brra-ta-ta-ta
Shots, shots, shots, I'm
Brra-ta-ta-ta
Shots, shots, shots, I'm
Brra-ta-ta-ta
Shots, shots, shots, I'm drinkin'
Rum, rum when I'm-
",
21,Ava Max,Sweet But Psycho,21,10,28,7/6/19,17-Aug-18,"Dance-Pop,Dance,Electronic Pop,Electro,R&;B,Electronic,Electro-Pop,UK,Pop","Ava max, Tix, Cirkut, Madison love, Cook classics","Sweet But Psycho 
Oh, she's sweet but a psycho
A little bit psycho
At night she's screamin', I'm-ma-ma-ma out my mind""
Oh, she's hot but a psycho
So left but she's right though
At night she's screamin', I'm-ma-ma-ma out my mind""
She'll make you curse, but she a blessing
She'll rip your shirt within a second
You'll be coming back, back for seconds
With your plate, you just can't help it
No, no
You'll play alo-o-ong, let her lead you o-o-on
You'll be saying, No, no""
Then saying, Yes, yes, yes, cause she messing with your head
Oh, she's sweet but a psycho
A little bit psycho
At night she's screamin', I'm-ma-ma-ma out my mind""
Oh, she's hot but a psycho
So left but she's right though
At night she's screamin', I'm-ma-ma-ma out my mind""
Grab a cop gun kinda crazy
She's poison but tasty
Yeah, people say, Run, don't walk away""
'Cause she's sweet but a psycho
A little bit psycho
At night she screamin', I'm-ma-ma-ma out my mind""
See, someone said, Don't drink her potions
She'll kiss your neck with no emotion
When she's mean, you know you love it
She tastes so sweet, don't sugarcoat it""
No, no
You'll play alo-o-ong, let her lead you o-o-on
You'll be saying, No No, no, no, no No""
Then saying, Yes, yes, yes, cause she messing with your head
Oh, she's sweet but a psycho
A little bit psycho
At night she's screamin', I'm-ma-ma-ma out my mind""
Oh, she's hot but a psycho
So left but she's right though
At night she's screamin', I'm-ma-ma-ma out my mind""
Grab a cop gun kinda crazy
She's poison but tasty
Yeah, people say, Run, don't walk away""
'Cause she's sweet but a psycho
A little bit psycho
At night she screamin', I'm-ma-ma-ma out my mind""
You're just like me, you're out your mind
I know it's strange, we're both the crazy kind
You're telling me that I'm insane
Boy, don't pretend that you don't love the pain
Oh, she's sweet but a psycho
A little bit psycho
At night she's screamin', I'm-ma-ma-ma out my mind""
Oh, she's hot but a psycho
So left but she's right though
At night she's screamin', I'm-ma-ma-ma out my mind""
Grab a cop gun kinda crazy
She's poison but tasty
Yeah, people say Run, don't walk away""
'Cause she's sweet but a psycho
A little bit psycho
At night she screamin', I'm-ma-ma-ma out my mind""
",
